species,centroid_lon,centroid_lat
Phylloscopus magnirostris,96.4715367588144,32.4967730494885
Phylloscopus ogilviegranti,105.777493516362,27.9565162139482
Phylloscopus omeiensis,103.138689422114,34.2552954800302
Phylloscopus pulcher,95.5379330495279,32.5200925129806
Phylloscopus ricketti,107.472264592213,29.1714739817125
Phylloscopus sibilatrix,88.6245552412784,35.7059614719898
Phylloscopus soror,109.415484613438,30.0484678266725
Phylloscopus tenellipes,117.106559445778,36.2716622786622
Phylloscopus tephrocephalus,104.638934467959,29.779952347925
Phylloscopus valentini,108.319174387173,29.9524444231678
Phylloscopus yunnanensis,102.984543470184,32.4340854329188
Pitta moluccensis,106.992949102931,24.3969591618518
Pitta nympha,110.999945719038,31.0801035570119
Pitta sordida,91.8659774985578,30.1121524046297
Prunella collaris,103.531490290256,36.5050926751325
Prunella himalayana,86.6170262806194,37.0301081755345
Prunella immaculata,95.5379330495279,32.5200925129806
Prunella montanella,100.582470640582,37.2052072128403
Prunella strophiata,97.6424417873072,32.4279965647009
Hemixos castanonotus,116.02207480322,30.748582091515
Hypsipetes leucocephalus,108.157576427917,28.7368121881086
Ixos mcclellandii,108.610971682245,29.8913583585007
Pycnonotus jocosus,109.869105637901,25.7820752517914
Pycnonotus sinensis,108.566480267763,32.410547106766
Pycnonotus xanthorrhous,110.991107308323,34.6070275810452
Spizixos semitorques,108.973658943884,30.4995285560815
Regulus regulus,116.034852416102,32.892272634422
Remiz consobrinus,110.647276611907,30.9049122575511
Remiz coronatus,106.159698266387,37.2604621286117
Abroscopus albogularis,103.691990288287,30.6484070804526
Cettia brunnifrons,94.3919563319863,30.3222992692073
Cettia castaneocoronata,96.7593751479926,29.576361460397
Hemitesia pallidipes,107.92362258791,24.9987376830454
Phyllergates cucullatus,104.296285427378,24.5982032845435
Urosphena squameiceps,120.973371588975,23.7519935426755
Sitta cinnamoventris,,
Sitta formosa,,
Sitta villosa,,
Acridotheres tristis,96.7400555089436,35.4436219726596
Agropsar sturninus,,
Spodiopsar cineraceus,97.8226768669762,36.5305812350089
Spodiopsar sericeus,110.304796942583,29.6828231780126
Sturnia pagodarum,91.8659774985578,30.1121524046297
Sturnia sinensis,112.680185264852,26.5070413190903
Sturnus vulgaris,99.7889397197297,37.1297703514753
Curruca communis,88.4678502182582,39.5326360678478
Curruca curruca,96.4031163656075,34.994304100223
Cyanoderma rufifrons,,
Mixornis gularis,,
Stachyris humei,,
Geokichla citrina,112.05586272455,26.9418365556327
Otocichla mupinensis,105.918195109447,32.51038112854
Turdus boulboul,98.805385235213,33.6836509755745
Turdus cardis,,
Turdus feae,,
Turdus mandarinus,101.421962155504,37.8116332431497
Turdus pilaris,90.5642497735499,39.3714893805395
Turdus rubrocanus,100.403988911354,32.3134056800866
Turdus ruficollis,,
Turdus viscivorus,,
Zoothera dixoni,98.315868387615,30.6434523682888
Zoothera mollissima,97.0188484231526,30.3857362134418
Zoothera monticola,,
Tephrodornis virgatus,108.79805703406,25.1679891233783
Erpornis zantholeuca,112.934954901096,25.4969896808566
Pteruthius rufiventer,,
Pteruthius xanthochlorus,106.558528445039,30.7890474503649
Staphida castaniceps,110.193535450647,29.0166057312052
Staphida torqueola,113.614543522147,33.8767640524588
Yuhina nigrimenta,101.016665300871,29.9753890002382
Zosterops erythropleurus,98.2383990847904,34.3773486824843
Zosterops japonicus,120.03271344206,30.0129596586707
Ardea intermedia,104.527936174004,31.2038213408215
Ardeola bacchus,108.160557518131,32.3432660681124
Ardeola grayii,89.0332506591,35.6257723765613
Ardeola speciosa,119.741378045336,28.9323700346686
Bubulcus ibis,116.40866614672,40.1838492440431
Egretta eulophotes,,
Egretta garzetta,99.5634764889043,31.5473507618899
Egretta picata,120.973371588975,23.7519935426755
Gorsachius goisagi,113.935090825943,29.0630584175644
Gorsachius melanolophus,107.15759806143,24.1001032801751
Oroanassa magnifica,109.068316200507,27.5585110388173
Ixobrychus cinnamomeus,111.021761246577,30.5304875581667
Ixobrychus eurhythmus,91.5523453375791,38.6680957412245
Ixobrychus minutus,88.6676494334673,38.1772185464338
Nycticorax nycticorax,,
Mycteria leucocephala,106.997958507306,28.7825642273763
Pelecanus crispus,102.346574147145,36.157016427893
Pelecanus onocrotalus,94.6991673258575,37.4714874259784
Nipponia nippon,108.844485995849,35.1538808912007
Platalea minor,120.973371588975,23.7519935426755
Plegadis falcinellus,99.1296672420202,33.9242515630145
Phoenicopterus roseus,100.076959371616,36.4838270325027
Indicator xanthonotus,91.8659774985578,30.1121524046297
Psilopogon faber,112.987071850568,24.6654344724554
Psilopogon faiostrictus,110.775313125676,23.643223390544
Psilopogon virens,102.970021484715,29.5505900261963
Dendrocopos hyperythrus,102.146058447215,28.1456231634784
Picumnus innominatus,108.762336952187,30.3728161932732
Picus chlorolophus,112.854656119213,25.0840944682033
Sasia ochracea,95.3397848686,29.2755367126628
Podiceps auritus,103.938691083743,38.0844723975886
Podiceps grisegena,121.540561995062,39.0488563878691
Podiceps nigricollis,100.759969682875,38.5336136871519
Oceanites oceanicus,118.690181332233,35.006705447258
Ardenna pacifica,117.039887277328,24.3121966114169
Ardenna tenuirostris,117.055982326721,32.3979808311756
Bulweria bulwerii,116.234114055663,24.9332720410979
Calonectris leucomelas,116.870869184316,28.8072326652212
Syrrhaptes paradoxus,91.9378796769264,39.3429970383986
Asio flammeus,,
Athene noctua,96.4114364812737,31.7768251851671
Bubo nipalensis,104.277702413699,26.9303333479648
Glaucidium cuculoides,103.505854725214,30.6551164949847
Ketupa flavipes,109.759994250365,28.8092806428821
Ninox japonica,120.262000599953,38.7176947364623
Otus lettia,109.918652873283,28.6792372892645
Otus semitorques,115.45429947539,40.5116162866163
Otus spilocephalus,100.948789546604,29.0516705043268
Tyto alba,105.137671547884,24.7560464415932
Tyto longimembris,110.4202409275,26.4780562606088
Fregata andrewsi,110.775313125676,23.643223390544
Fregata ariel,115.960175222176,29.3794653532126
Urile pelagicus,,
Sula dactylatra,119.22815458596,26.9940139719923
Sula sula,115.78781208404,29.7248244086132
Harpactes wardi,,
