species,record_count_new_record,first_year,provinces_recorded,new_record_order
Oenanthe oenanthe,1,2024,Jiangsu,Passeriformes
Onychoprion aleuticus,4,2009,Fujian | Jiangsu | Shandong | Zhejiang,Charadriiformes
Onychoprion anaethetus,4,2013,Guangxi | Jiangsu | Shandong | Yunnan,Charadriiformes
Onychoprion fuscatus,1,2023,Yunnan,Charadriiformes
Oriolus oriolus,1,2017,Qinghai,Passeriformes
Oroanassa magnifica,7,2000,Guangdong | Guizhou | Hunan | Shaanxi | Sichuan | Yunnan,NA
Otocichla mupinensis,6,2006,Anhui | Guangxi | Jiangsu | Jiangxi | Liaoning | Shanghai,NA
Otus lettia,1,2024,Gansu,Strigiformes
Otus semitorques,3,2012,Henan | Inner Mongolia | Zhejiang,Strigiformes
Otus spilocephalus,2,2011,Anhui | Jiangxi,Strigiformes
Oxyura leucocephala,2,2019,Shaanxi | Sichuan,Anseriformes
Panurus biarmicus,2,2020,Henan | Shaanxi,Passeriformes
Paradoxornis gularis,1,2011,Shaanxi,NA
Paradoxornis guttaticollis,1,2014,Hunan,Passeriformes
Paradoxornis heudei,4,2002,Anhui | Henan | Jilin | Tianjin,Passeriformes
Parayuhina diademata,1,2014,Tibet,Passeriformes
Pardaliparus venustulus,2,2012,Jilin | Qinghai,Passeriformes
Parus major linnaeus,1,2025,Liaoning,NA
Parus monticolus,1,2006,Guangxi,Passeriformes
Passer cinnamomeus,2,2004,Beijing | Inner Mongolia,Passeriformes
Passer domesticus,6,2009,Hainan | Hubei | Jiangxi | Shaanxi | Yunnan | Zhejiang,Passeriformes
Passer hispaniolensis,2,2015,Inner Mongolia | Sichuan,Passeriformes
Passerculus sandwichensis,1,2021,Qinghai,Passeriformes
Pastor roseus,1,2025,Jiangxi,Passeriformes
Pavo cristatus,1,2025,Tibet,NA
Pelecanus crispus,1,2024,Guizhou,Pelecaniformes
Pelecanus onocrotalus,6,2004,Anhui | Jiangsu | Liaoning | Shandong | Sichuan,Pelecaniformes
Pellorneum albiventre,1,2025,Guangdong,Passeriformes
Pellorneum tickelli,2,2006,Guangxi | Tibet,Passeriformes
Perdix hodgsoniae,1,2013,Yunnan,Galliformes
Pericrocotus cantonensis,1,2023,Tianjin,Passeriformes
Pericrocotus divaricatus,1,2020,Hainan,Passeriformes
Pericrocotus ethologus,3,2014,Hunan | Inner Mongolia | Jiangsu,Passeriformes
Pericrocotus solaris,2,2009,Anhui | Chongqing,Passeriformes
Periparus rubidiventris,1,2017,Tibet,Passeriformes
Pernis ptilorhynchus,2,2001,Tianjin,Accipitriformes
Phalaropus fulicarius,4,2011,Beijing | Hainan | Henan | Sichuan,Charadriiformes
Phalaropus lobatus,5,2009,Guizhou | Henan | Jiangxi | Shaanxi | Sichuan,Charadriiformes
Phasianus colchicus,1,2021,Shandong,Galliformes
Phoebastria immutabilis,1,2005,Fujian,Procellariiformes
Phoenicopterus roseus,13,2000,Anhui | Beijing | Inner Mongolia | Liaoning | Ningxia | Qinghai | Shaanxi | Shandong | Shanghai | Sichuan | Tianjin | Xinjiang | Yunnan,Phoenicopteriformes
Phoenicurus erythronotus,1,2020,Gansu,Passeriformes
Phoenicurus frontalis,2,2017,Jiangxi | Shandong,Passeriformes
Phoenicurus leucocephalus,2,2010,Gansu | Xinjiang,Passeriformes
Phoenicurus ochruros,4,2013,Hunan | Jiangsu | Shanghai | Zhejiang,Passeriformes
Phoenicurus schisticeps,1,2010,Shandong,Passeriformes
Phyllergates cucullatus,1,2025,Guizhou,Passeriformes
Phylloscopus affinis,2,2010,Guangxi | Heilongjiang,Passeriformes
Phylloscopus borealoides,3,2006,Hunan | Jiangsu | Zhejiang,Passeriformes
Phylloscopus burkii,1,2002,Tianjin,Passeriformes
Phylloscopus cantator,2,2014,Guangxi | Tibet,Passeriformes
Phylloscopus castaniceps,4,2003,Anhui | Heilongjiang | Shanghai,Passeriformes
Phylloscopus claudiae,1,2018,Shanghai,Passeriformes
