algorithm,mean_auc,mean_tss,mean_threshold,available,species
RF,0.5945443246272797,0.23396805517033026,0.008,TRUE,Pycnonotus xanthorrhous
GAM,0.7289907965824363,0.46625901038496304,0.13735224981494945,TRUE,Garrulax canorus
GBM,0.6645430444866831,0.3928666825423657,0.06453240655897656,TRUE,Garrulax canorus
GLM,0.7761122178755387,0.5586918502793997,0.2016838604288791,TRUE,Garrulax canorus
MaxEnt,NA,NA,NA,TRUE,Garrulax canorus
RF,0.5858631579273765,0.26224578088562506,0.008666666666666666,TRUE,Garrulax canorus
GAM,0.6612248684648868,0.3052914451181285,0.07564015659919945,TRUE,Emberiza elegans
GBM,0.6307598366158045,0.29414356282974163,0.05169266286846602,TRUE,Emberiza elegans
GLM,0.6791707600206043,0.2631862055938273,0.15652009910399495,TRUE,Emberiza elegans
MaxEnt,NA,NA,NA,TRUE,Emberiza elegans
RF,0.5874740754242215,0.11679314604071545,0.006666666666666667,TRUE,Emberiza elegans
GAM,0.8066642591918854,0.5773079382196996,0.12099259926989187,TRUE,Ardea intermedia
GBM,0.7684833912182629,0.5786861625870405,0.0771417337461224,TRUE,Ardea intermedia
GLM,0.8237852130821393,0.5921010210657233,0.1665314486979254,TRUE,Ardea intermedia
MaxEnt,NA,NA,NA,TRUE,Ardea intermedia
RF,0.6978139048992461,0.3662639283832935,0.019333333333333334,TRUE,Ardea intermedia
GAM,0.7006906688822271,0.4494590573588896,0.07432207076171915,TRUE,Hemixos castanonotus
GBM,0.6886031724780401,0.4895037910627453,0.05380220737516066,TRUE,Hemixos castanonotus
GLM,0.7538530846446707,0.5358831425858723,0.13834661817738647,TRUE,Hemixos castanonotus
MaxEnt,NA,NA,NA,TRUE,Hemixos castanonotus
RF,0.6469821234858116,0.3788682890282337,0.009466666666666698,TRUE,Hemixos castanonotus
GAM,0.6653926009709166,0.43275411101370714,0.09466678254460897,TRUE,Abroscopus albogularis
GBM,0.638578047493267,0.3824857844885113,0.07125585579309335,TRUE,Abroscopus albogularis
GLM,0.700778712861134,0.4594578967188269,0.11815471239635059,TRUE,Abroscopus albogularis
MaxEnt,NA,NA,NA,TRUE,Abroscopus albogularis
RF,0.5896493816521495,0.23841983054644317,0.008,TRUE,Abroscopus albogularis
GAM,0.6865576707109825,0.36305823083031397,0.1461457333297354,TRUE,Vanellus cinereus
GBM,0.6228216582496666,0.3255372929163589,0.1030852230534764,TRUE,Vanellus cinereus
GLM,0.7284049306377961,0.4525299138091923,0.17040038571366634,TRUE,Vanellus cinereus
MaxEnt,NA,NA,NA,TRUE,Vanellus cinereus
RF,0.6298569670947575,0.12008838515587868,0.014666666666666668,TRUE,Vanellus cinereus
GAM,0.6624613086284016,0.4021002779983079,0.0710615540188596,TRUE,Ixos mcclellandii
GBM,0.61510619414522,0.36906834653368814,0.06858608489315692,TRUE,Ixos mcclellandii
GLM,0.7211620234963246,0.43472890378754286,0.11421726225851216,TRUE,Ixos mcclellandii
MaxEnt,NA,NA,NA,TRUE,Ixos mcclellandii
RF,0.5782482403233983,0.2787631287369442,0.009333333333333334,TRUE,Ixos mcclellandii
GAM,0.5977988793756434,0.26005346090216447,0.09991937123939054,TRUE,Turdus naumanni
GBM,0.5908290688730969,0.2642600039622041,0.04600547104736708,TRUE,Turdus naumanni
GLM,0.6611966613371931,0.3159099348580066,0.09683948142376901,TRUE,Turdus naumanni
MaxEnt,NA,NA,NA,TRUE,Turdus naumanni
RF,0.5689034412666971,0.08326456912034455,0.004,TRUE,Turdus naumanni
GAM,0.7309333843741762,0.4458602382979143,0.10118255126556101,TRUE,Amaurornis phoenicurus
GBM,0.650478738763201,0.4039915948258125,0.07030356110877563,TRUE,Amaurornis phoenicurus
