species,order,mass,migration_av,habitat_av,trophic_level_av,trophic_niche_av,lifestyle_av,centroid_latitude,centroid_longitude,migration_cn,diet_cn,range_size_provinces,iucn_pool,log_mass,migration_class,iucn_group,risk_group,trophic_group,n_new_records,new_record
Trochalopteron morrisonianum,Passeriformes,73.1,1,Forest,Omnivore,Frugivore,Insessorial,23.82,121.12,R,杂食性,1,LC,1.86391737695786,Resident/low mobility,LC,LC/NE,Omnivore,0,0
Trochalopteron squamatum,Passeriformes,83.99,1,Shrubland,Omnivore,Omnivore,Insessorial,24.91,96.01,R,杂食性,1,LC,1.92422758126012,Resident/low mobility,LC,LC/NE,Omnivore,0,0
Trochalopteron subunicolor,Passeriformes,65.93,1,Shrubland,Carnivore,Invertivore,Generalist,25.84,96.49,R,杂食性,2,LC,1.8190830757437,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Troglodytes troglodytes,Passeriformes,9.74,3,Forest,Carnivore,Invertivore,Insessorial,46.78,62.81,RSWP,食虫,27,LC,0.988558956878616,Full migrant,LC,LC/NE,Carnivore,0,0
Turdus albocinctus,Passeriformes,99.4,2,Forest,Omnivore,Invertivore,Insessorial,28.91,86.49,R,杂食性,4,LC,1.99738638439731,Partial migrant,LC,LC/NE,Omnivore,0,0
Turdus atrogularis,Passeriformes,106,3,Forest,Omnivore,Invertivore,Insessorial,58.58,84.94,WP,食虫,11,LC,2.02530586526477,Full migrant,LC,LC/NE,Omnivore,0,0
Turdus chrysolaus,Passeriformes,65.4,3,Forest,Omnivore,Invertivore,Insessorial,42.71,141.52,SWP,杂食性,12,LC,1.81557774832427,Full migrant,LC,LC/NE,Omnivore,0,0
Turdus dissimilis,Passeriformes,74.99,1,Forest,Omnivore,Invertivore,Generalist,23.83,100.95,RP,杂食性,4,LC,1.87500335360004,Resident/low mobility,LC,LC/NE,Omnivore,0,0
Turdus eunomus,Passeriformes,73.18,3,Forest,Omnivore,Invertivore,Generalist,65.31,128.61,WP,杂食性,33,LC,1.86439240515059,Full migrant,LC,LC/NE,Omnivore,0,0
Turdus hortulorum,Passeriformes,66.7,3,Forest,Carnivore,Invertivore,Terrestrial,50.79,131.93,SWPV,杂食性,31,LC,1.82412583391655,Full migrant,LC,LC/NE,Carnivore,0,0
Turdus iliacus,Passeriformes,61.2,3,Forest,Omnivore,Invertivore,Insessorial,61.67,73.85,P,杂食性,1,NT,1.78675142214556,Full migrant,NT,NT,Omnivore,0,0
Turdus kessleri,Passeriformes,76.26,3,Forest,Omnivore,Invertivore,Generalist,33.75,99.56,R,食虫,5,LC,1.88229680093765,Full migrant,LC,LC/NE,Omnivore,0,0
Turdus mandarinus,Passeriformes,102.73,1,Forest,Omnivore,Omnivore,Generalist,28.89,110.24,RW,杂食性,26,LC,2.01169728811414,Resident/low mobility,LC,LC/NE,Omnivore,0,0
Turdus maximus,Passeriformes,89.5,1,Forest,Omnivore,Omnivore,Generalist,30.58,87.12,R,杂食性,1,LC,1.95182303531591,Resident/low mobility,LC,LC/NE,Omnivore,0,0
Turdus merula,Passeriformes,102.73,1,Forest,Omnivore,Omnivore,Generalist,49.18,28.15,R,杂食性,2,LC,2.01169728811414,Resident/low mobility,LC,LC/NE,Omnivore,0,0
Turdus mupinensis,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA,RSW,食虫,19,NA,NA,NA,Unknown,Unknown,Other,0,0
Turdus niveiceps,Passeriformes,61.61,1,Forest,Omnivore,Omnivore,Insessorial,23.75,121.12,R,杂食性,1,LC,1.78965120879341,Resident/low mobility,LC,LC/NE,Omnivore,0,0
Turdus obscurus,Passeriformes,62.6,3,Forest,Omnivore,Invertivore,Insessorial,58.62,115.87,WP,杂食性,33,LC,1.79657433321043,Full migrant,LC,LC/NE,Omnivore,0,0
Turdus pallidus,Passeriformes,72.1,3,Forest,Omnivore,Invertivore,Generalist,44.96,131.58,SWP,食虫,34,LC,1.85793526471943,Full migrant,LC,LC/NE,Omnivore,0,0
Turdus philomelos,Passeriformes,67.74,3,Forest,Omnivore,Invertivore,Generalist,55.86,48.89,S,杂食性,1,LC,1.83084519230861,Full migrant,LC,LC/NE,Omnivore,0,0
Turdus unicolor,Passeriformes,64.19,1,Forest,Omnivore,Invertivore,Terrestrial,31.78,78.11,R,NA,1,LC,1.80746737568428,Resident/low mobility,LC,LC/NE,Omnivore,0,0
Urocissa caerulea,Passeriformes,256.98,1,Forest,Omnivore,Omnivore,Insessorial,23.8,121.1,R,杂食性,1,LC,2.40989932478021,Resident/low mobility,LC,LC/NE,Omnivore,0,0
Urocissa erythroryncha,Passeriformes,151.52,1,Forest,Carnivore,Omnivore,Insessorial,26.37,107.36,R,杂食性,27,LC,2.1804699616592,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Urocissa flavirostris,Passeriformes,149.19,1,Forest,Carnivore,Omnivore,Insessorial,28.24,87.92,R,杂食性,2,LC,2.17373971395189,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Urocissa whiteheadi,Passeriformes,200,1,Forest,Omnivore,Omnivore,Insessorial,19.2,109.74,R,杂食性,4,EN,2.30102999566398,Resident/low mobility,Threatened,Threatened/DD,Omnivore,0,0
Urocynchramus pylzowi,Passeriformes,28.62,1,Shrubland,Herbivore,Granivore,Generalist,33.82,100.08,R,杂食性,4,LC,1.45666962942376,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Yuhina brunneiceps,Passeriformes,12.49,1,Forest,Omnivore,Omnivore,Insessorial,23.79,121.11,R,杂食性,1,LC,1.09656243837414,Resident/low mobility,LC,LC/NE,Omnivore,0,0
Yuhina flavicollis,Passeriformes,16.91,1,Forest,Carnivore,Invertivore,Insessorial,25.82,93.08,R,杂食性,2,LC,1.22814360759774,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Yuhina gularis,Passeriformes,20.78,1,Forest,Carnivore,Invertivore,Insessorial,26.77,94.62,R,杂食性,4,LC,1.31764554322116,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Yuhina occipitalis,Passeriformes,13,1,Forest,Omnivore,Invertivore,Insessorial,26.6,95.77,R,杂食性,3,LC,1.11394335230684,Resident/low mobility,LC,LC/NE,Omnivore,0,0
Zonotrichia leucophrys,Passeriformes,28,3,Shrubland,Omnivore,Omnivore,Generalist,58.71,-115.14,V,NA,1,LC,1.44715803134222,Full migrant,LC,LC/NE,Omnivore,0,0
Zoothera aurea,Passeriformes,134.13,3,Forest,Carnivore,Invertivore,Generalist,52.79,108.76,SPW,NA,34,LC,2.12752592458769,Full migrant,LC,LC/NE,Carnivore,0,0
Zoothera dauma,Passeriformes,134.13,3,Forest,Carnivore,Invertivore,Generalist,25.36,95.6,SWP,食虫,6,LC,2.12752592458769,Full migrant,LC,LC/NE,Carnivore,0,0
Zoothera griseiceps,Passeriformes,98.19,1,Shrubland,Omnivore,Invertivore,Terrestrial,30.2,101.79,S,NA,3,LC,1.99206726002767,Resident/low mobility,LC,LC/NE,Omnivore,0,0
Zoothera marginata,Passeriformes,81,2,Forest,Carnivore,Invertivore,Terrestrial,21.61,98.94,P,食虫,1,LC,1.90848501887865,Partial migrant,LC,LC/NE,Carnivore,0,0
Zoothera salimalii,Passeriformes,98.19,1,Shrubland,Omnivore,Invertivore,Terrestrial,27.74,90.72,R,NA,1,LC,1.99206726002767,Resident/low mobility,LC,LC/NE,Omnivore,0,0
Zosterops japonicus,Passeriformes,11.29,1,Forest,Omnivore,Omnivore,Insessorial,28.08,130.91,RSWP,杂食性,28,LC,1.05269394192497,Resident/low mobility,LC,LC/NE,Omnivore,0,0
Zosterops palpebrosus,Passeriformes,8.6,1,Forest,Omnivore,Omnivore,Insessorial,22.22,90.83,RSW,杂食性,5,LC,0.934498451243568,Resident/low mobility,LC,LC/NE,Omnivore,0,0
Zosterops simplex,Passeriformes,11.29,1,Forest,Omnivore,Omnivore,Insessorial,23.38,108.97,NA,NA,NA,LC,1.05269394192497,Resident/low mobility,LC,LC/NE,Omnivore,0,0
Ardea alba,Pelecaniformes,871.33,2,Wetland,Carnivore,Aquatic predator,Terrestrial,10.02,28.87,RSWP,食虫，食肉,33,LC,2.94018266710439,Partial migrant,LC,LC/NE,Carnivore,0,0
Ardea cinerea,Pelecaniformes,1443,1,Wetland,Carnivore,Aquatic predator,Terrestrial,27.14,60.83,RSWP,食肉，食虫,34,LC,3.15926633109349,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Ardea insignis,Pelecaniformes,2024,1,Wetland,Carnivore,Aquatic predator,Terrestrial,27.28,93.73,R,食肉,2,CR,3.30621050816776,Resident/low mobility,Threatened,Threatened/DD,Carnivore,0,0
Ardeola bacchus,Pelecaniformes,304.89,2,Wetland,Carnivore,Aquatic predator,Terrestrial,33.13,113.88,RSW,食肉，食虫,33,LC,2.48414318029834,Partial migrant,LC,LC/NE,Carnivore,0,0
Botaurus stellaris,Pelecaniformes,1319.45,2,Wetland,Carnivore,Aquatic predator,Terrestrial,50.39,77.93,SWP,食肉，食虫,32,LC,3.12039293746207,Partial migrant,LC,LC/NE,Carnivore,0,0
Bubulcus coromandus,Pelecaniformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,Other,0,0
