species,order,direction
Charadrius mongolus,Charadriiformes,Southeast
Pluvialis apricaria,Charadriiformes,East
Ciconia nigra,Ciconiiformes,Southeast
Geopelia striata,Columbiformes,North
Treron sieboldii,Columbiformes,East
Clamator jacobinus,Cuculiformes,East
Syrmaticus reevesii,Galliformes,South
Tragopan temminckii,Galliformes,Northeast
Phasianus colchicus,Galliformes,East
Gavia stellata,Gaviiformes,East
Grus monacha,Gruiformes,Southwest
Emberiza chrysophrys,Passeriformes,South
Hypsipetes leucocephalus,Passeriformes,North
Cyornis glaucicomans,Passeriformes,East
Mycerobas carnipes,Passeriformes,East
Calliope obscura,Passeriformes,East
Cettia castaneocoronata,Passeriformes,Northeast
Turdus ruficollis,Passeriformes,Southeast
Turdus mandarinus,Passeriformes,Northwest
Passerculus sandwichensis,Passeriformes,East
Anthus roseatus,Passeriformes,East
Sula dactylatra,Suliformes,East
Oxyura leucocephala,Anseriformes,Southeast
Spilopelia chinensis,Columbiformes,Northeast
Treron seimundi,Columbiformes,Northwest
Coracias garrulus,Coraciiformes,East
Tragopan caboti,Galliformes,Northeast
Syrmaticus humiae,Galliformes,East
Rallus aquaticus,Gruiformes,East
Remiz coronatus,Passeriformes,Southeast
Temnurus temnurus,Passeriformes,Northeast
Hirundo rustica,Passeriformes,East
Larvivora akahige,Passeriformes,West
Prinia flaviventris,Passeriformes,Northeast
Phylloscopus pulcher,Passeriformes,East
Prunella collaris,Passeriformes,Southeast
Paradoxornis heudei,Passeriformes,Northwest
Ficedula narcissina,Passeriformes,West
Carpodacus vinaceus,Passeriformes,Northeast
Gracupica nigricollis,Passeriformes,Northeast
Lanius borealis,Passeriformes,East
Moupinia poecilotis,Passeriformes,Southwest
Iduna caligata,Passeriformes,Southeast
Lanius isabellinus,Passeriformes,Southeast
Plegadis falcinellus,Pelecaniformes,East
Indicator xanthonotus,Piciformes,East
Oceanites oceanicus,Procellariiformes,Northeast
Otus semitorques,Strigiformes,West
Clanga clanga,Accipitriformes,Southeast
Aquila heliaca,Accipitriformes,Southeast
Ictinaetus malaiensis,Accipitriformes,Northeast
Circus macrourus,Accipitriformes,East
Anser albifrons,Anseriformes,East
Aythya collaris,Anseriformes,East
Mareca falcata,Anseriformes,West
Ibidorhyncha struthersii,Charadriiformes,East
Phalaropus fulicarius,Charadriiformes,Southeast
Onychoprion fuscatus,Charadriiformes,Northwest
Calidris bairdii,Charadriiformes,East
Turnix suscitator,Charadriiformes,Northeast
Spilopelia senegalensis,Columbiformes,Northeast
Treron curvirostra,Columbiformes,Northeast
Treron sphenurus,Columbiformes,East
Merops philippinus,Coraciiformes,Northeast
Gavia arctica,Gaviiformes,South
Grus nigricollis,Gruiformes,East
Emberiza chrysophrys,Passeriformes,Southwest
Aegithalos concinnus,Passeriformes,Northeast
Phylloscopus omeiensis,Passeriformes,East
Regulus regulus,Passeriformes,Southeast
Acrocephalus agricola,Passeriformes,East
Alauda gulgula,Passeriformes,East
Emberiza hortulana,Passeriformes,East
Linaria cannabina,Passeriformes,East
Phylloscopus subaffinis,Passeriformes,North
Pseudopodoces humilis,Passeriformes,Southeast
Acridotheres cristatellus,Passeriformes,Northeast
Cyanistes cyanus,Passeriformes,East
Turdus pilaris,Passeriformes,Southeast
Niltava macgrigoriae,Passeriformes,Northeast
Cyornis hainanus,Passeriformes,North
Pericrocotus cantonensis,Passeriformes,Northeast
Agropsar sturninus,Passeriformes,Southwest
Sturnia pagodarum,Passeriformes,North
Otus spilocephalus,Strigiformes,Northeast
Ninox japonica,Strigiformes,Southwest
Haliaeetus pelagicus,Accipitriformes,Southwest
Charadrius dealbatus,Charadriiformes,Northeast
Treron sieboldii,Columbiformes,Northwest
Macropygia unchall,Columbiformes,Northeast
Eudynamys scolopaceus,Cuculiformes,North
Centropus bengalensis,Cuculiformes,Northwest
Lophura nycthemera,Galliformes,East
Crossoptilon mantchuricum,Galliformes,South
Lophura leucomelanos,Galliformes,Northwest
Grus japonensis,Gruiformes,South
Grus japonensis,Gruiformes,Southwest
Enicurus schistaceus,Passeriformes,Northeast
Turdus feae,Passeriformes,Southeast
Locustella davidi,Passeriformes,Southwest
Emberiza rustica,Passeriformes,South
Enicurus maculatus,Passeriformes,Northeast
Loxia curvirostra,Passeriformes,East
Zosterops meyeni,Passeriformes,Northwest
Calandrella brachydactyla,Passeriformes,East
Hemitesia pallidipes,Passeriformes,East
Anthus trivialis,Passeriformes,East
Certhia familiaris,Passeriformes,East
Ficedula owstoni,Passeriformes,Northwest
Oenanthe oenanthe,Passeriformes,East
Ptyonoprogne rupestris,Passeriformes,East
Abroscopus albogularis,Passeriformes,North
Sitta villosa,Passeriformes,East
Acrocephalus orientalis,Passeriformes,Southwest
Emberiza elegans,Passeriformes,Southwest
Nipponia nippon,Pelecaniformes,Northwest
Pelecanus crispus,Pelecaniformes,Southeast
Otus lettia,Strigiformes,North
Ketupa flavipes,Strigiformes,North
Anhinga melanogaster,Suliformes,Northeast
Circus aeruginosus,Accipitriformes,East
Accipiter badius,Accipitriformes,East
Haliastur indus,Accipitriformes,North
Sibirionetta formosa,Anseriformes,Southwest
Numenius minutus,Charadriiformes,Southwest
Tringa stagnatilis,Charadriiformes,Southeast
Larus canus,Charadriiformes,Southeast
Hydrophasianus chirurgus,Charadriiformes,East
Anastomus oscitans,Ciconiiformes,East
Gavia stellata,Gaviiformes,Southeast
Gavia pacifica,Gaviiformes,East
Zapornia bicolor,Gruiformes,East
Tetrax tetrax,Otidiformes,East
Phylloscopus sibilatrix,Passeriformes,East
Sylviparus modestus,Passeriformes,Northeast
Hirundo smithii,Passeriformes,East
Pellorneum albiventre,Passeriformes,East
Phyllergates cucullatus,Passeriformes,North
Emberiza elegans,Passeriformes,Northeast
