"order","province","n_records","x_order","y_order","x_province","y_province","edge_color"
"Columbiformes","Henan",1,-0.730835964278124,0.682553143218654,0.690079011482112,-0.72373403810507,"#B0B0B0"
"Columbiformes","Hunan",1,-0.730835964278124,0.682553143218654,0.18925124436041,-0.981928697262707,"#B0B0B0"
"Columbiformes","Inner Mongolia",2,-0.730835964278124,0.682553143218654,0.814575952050336,-0.580056909571198,"#B0B0B0"
"Columbiformes","Jiangsu",1,-0.730835964278124,0.682553143218654,0.45822652172741,-0.888835448654923,"#B0B0B0"
"Columbiformes","Jiangxi",2,-0.730835964278124,0.682553143218654,0.998867339183008,0.0475819158237423,"#B0B0B0"
"Columbiformes","Jilin",1,-0.730835964278124,0.682553143218654,0.945000818714669,0.327067963317421,"#B0B0B0"
"Columbiformes","Tibet",1,-0.730835964278124,0.682553143218654,6.12323399573677e-17,-1,"#B0B0B0"
"Columbiformes","Yunnan",2,-0.730835964278124,0.682553143218654,0.0950560433041828,-0.995471922573085,"#B0B0B0"
"Columbiformes","Zhejiang",3,-0.730835964278124,0.682553143218654,0.755749574354258,-0.654860733945285,"#B0B0B0"
"Coraciiformes","Beijing",1,-0.94226092211882,0.334879612170986,0.690079011482112,0.72373403810507,"#6FA8DC"
"Coraciiformes","Fujian",2,-0.94226092211882,0.334879612170986,0.618158986220605,0.786053094742787,"#6FA8DC"
"Coraciiformes","Henan",1,-0.94226092211882,0.334879612170986,0.690079011482112,-0.72373403810507,"#6FA8DC"
"Coraciiformes","Inner Mongolia",1,-0.94226092211882,0.334879612170986,0.814575952050336,-0.580056909571198,"#6FA8DC"
"Coraciiformes","Jiangsu",1,-0.94226092211882,0.334879612170986,0.45822652172741,-0.888835448654923,"#6FA8DC"
"Coraciiformes","Liaoning",1,-0.94226092211882,0.334879612170986,0.945000818714668,-0.327067963317422,"#6FA8DC"
"Coraciiformes","Qinghai",2,-0.94226092211882,0.334879612170986,0.989821441880933,0.142314838273285,"#6FA8DC"
"Coraciiformes","Shaanxi",1,-0.94226092211882,0.334879612170986,0.28173255684143,-0.959492973614497,"#6FA8DC"
"Coraciiformes","Shandong",2,-0.94226092211882,0.334879612170986,0.971811568323542,0.235758935509427,"#6FA8DC"
"Coraciiformes","Shanghai",1,-0.94226092211882,0.334879612170986,0.866025403784439,0.5,"#6FA8DC"
"Coraciiformes","Tibet",4,-0.94226092211882,0.334879612170986,6.12323399573677e-17,-1,"#6FA8DC"
"Cuculiformes","Beijing",1,-0.997668769190539,-0.068242413364671,0.690079011482112,0.72373403810507,"#DFC486"
"Cuculiformes","Hebei",1,-0.997668769190539,-0.068242413364671,0.45822652172741,0.888835448654923,"#DFC486"
"Cuculiformes","Heilongjiang",1,-0.997668769190539,-0.068242413364671,0.755749574354258,0.654860733945285,"#DFC486"
"Cuculiformes","Liaoning",3,-0.997668769190539,-0.068242413364671,0.945000818714668,-0.327067963317422,"#DFC486"
"Cuculiformes","Qinghai",1,-0.997668769190539,-0.068242413364671,0.989821441880933,0.142314838273285,"#DFC486"
"Cuculiformes","Shaanxi",2,-0.997668769190539,-0.068242413364671,0.28173255684143,-0.959492973614497,"#DFC486"
"Cuculiformes","Shanxi",1,-0.997668769190539,-0.068242413364671,0.28173255684143,0.959492973614497,"#DFC486"
"Cuculiformes","Tibet",2,-0.997668769190539,-0.068242413364671,6.12323399573677e-17,-1,"#DFC486"
"Cuculiformes","Yunnan",1,-0.997668769190539,-0.068242413364671,0.0950560433041828,-0.995471922573085,"#DFC486"
"Cuculiformes","Zhejiang",1,-0.997668769190539,-0.068242413364671,0.755749574354258,-0.654860733945285,"#DFC486"
"Falconiformes","Tibet",1,-0.631087944326053,-0.77571129070442,6.12323399573677e-17,-1,"#8DCFF5"
"Falconiformes","Yunnan",1,-0.631087944326053,-0.77571129070442,0.0950560433041828,-0.995471922573085,"#8DCFF5"
"Galliformes","Anhui",1,-0.816969893010442,0.576680322114867,0.540640817455598,-0.841253532831181,"#F1C40F"
"Galliformes","Guangdong",1,-0.816969893010442,0.576680322114867,0.540640817455598,0.841253532831181,"#F1C40F"
"Galliformes","Guangxi",1,-0.816969893010442,0.576680322114867,0.618158986220605,-0.786053094742788,"#F1C40F"
"Galliformes","Henan",2,-0.816969893010442,0.576680322114867,0.690079011482112,-0.72373403810507,"#F1C40F"
"Galliformes","Jiangsu",1,-0.816969893010442,0.576680322114867,0.45822652172741,-0.888835448654923,"#F1C40F"
"Galliformes","Shandong",1,-0.816969893010442,0.576680322114867,0.971811568323542,0.235758935509427,"#F1C40F"
"Galliformes","Shanxi",1,-0.816969893010442,0.576680322114867,0.28173255684143,0.959492973614497,"#F1C40F"
"Galliformes","Sichuan",1,-0.816969893010442,0.576680322114867,0.971811568323542,-0.235758935509427,"#F1C40F"
"Galliformes","Tibet",2,-0.816969893010442,0.576680322114867,6.12323399573677e-17,-1,"#F1C40F"
"Galliformes","Yunnan",2,-0.816969893010442,0.576680322114867,0.0950560433041828,-0.995471922573085,"#F1C40F"
"Gaviiformes","Anhui",1,-0.816969893010442,-0.576680322114867,0.540640817455598,-0.841253532831181,"#63D9C8"
"Gaviiformes","Jiangsu",1,-0.816969893010442,-0.576680322114867,0.45822652172741,-0.888835448654923,"#63D9C8"
"Gaviiformes","Jilin",1,-0.816969893010442,-0.576680322114867,0.945000818714669,0.327067963317421,"#63D9C8"
"Gaviiformes","Liaoning",1,-0.816969893010442,-0.576680322114867,0.945000818714668,-0.327067963317422,"#63D9C8"
"Gaviiformes","Shaanxi",1,-0.816969893010442,-0.576680322114867,0.28173255684143,-0.959492973614497,"#63D9C8"
"Gaviiformes","Sichuan",1,-0.816969893010442,-0.576680322114867,0.971811568323542,-0.235758935509427,"#63D9C8"
"Gaviiformes","Xinjiang",1,-0.816969893010442,-0.576680322114867,0.989821441880933,-0.142314838273285,"#63D9C8"
"Gaviiformes","Yunnan",1,-0.816969893010442,-0.576680322114867,0.0950560433041828,-0.995471922573085,"#63D9C8"
"Gaviiformes","Zhejiang",1,-0.816969893010442,-0.576680322114867,0.755749574354258,-0.654860733945285,"#63D9C8"
"Gruiformes","Anhui",3,-0.631087944326053,0.77571129070442,0.540640817455598,-0.841253532831181,"#D8B26E"
"Gruiformes","Beijing",1,-0.631087944326053,0.77571129070442,0.690079011482112,0.72373403810507,"#D8B26E"
"Gruiformes","Fujian",1,-0.631087944326053,0.77571129070442,0.618158986220605,0.786053094742787,"#D8B26E"
"Gruiformes","Gansu",2,-0.631087944326053,0.77571129070442,0.371662455660328,-0.928367933016073,"#D8B26E"
"Gruiformes","Guangdong",1,-0.631087944326053,0.77571129070442,0.540640817455598,0.841253532831181,"#D8B26E"
"Gruiformes","Heilongjiang",1,-0.631087944326053,0.77571129070442,0.755749574354258,0.654860733945285,"#D8B26E"
"Gruiformes","Hunan",1,-0.631087944326053,0.77571129070442,0.18925124436041,-0.981928697262707,"#D8B26E"
"Gruiformes","Inner Mongolia",3,-0.631087944326053,0.77571129070442,0.814575952050336,-0.580056909571198,"#D8B26E"
"Gruiformes","Jiangxi",2,-0.631087944326053,0.77571129070442,0.998867339183008,0.0475819158237423,"#D8B26E"
"Gruiformes","Jilin",3,-0.631087944326053,0.77571129070442,0.945000818714669,0.327067963317421,"#D8B26E"
"Gruiformes","Liaoning",1,-0.631087944326053,0.77571129070442,0.945000818714668,-0.327067963317422,"#D8B26E"
"Gruiformes","Ningxia",2,-0.631087944326053,0.77571129070442,0.814575952050336,0.580056909571198,"#D8B26E"
"Gruiformes","Qinghai",1,-0.631087944326053,0.77571129070442,0.989821441880933,0.142314838273285,"#D8B26E"
"Gruiformes","Shaanxi",1,-0.631087944326053,0.77571129070442,0.28173255684143,-0.959492973614497,"#D8B26E"
